type,price,beds,bath,propertysqft,locality,zipcode,distance_to_center,distance_to_wall_street
Condo,315000,2,2,1400.0,Manhattan,10022,0.9349210605941048,6.790446199486438
Condo,195000000,7,10,17545.0,Manhattan,10019,0.9125288807589591,7.112465854367722
House,260000,4,2,2015.0,Manhattan,10312,29.98475351907941,24.150406778182614
Condo,69000,3,1,445.0,Manhattan,10022,0.929317768857685,6.80019983793527
House,690000,5,2,4004.0,Manhattan,11238,9.64849834657401,5.495500876639681
Condo,899500,2,2,1786.0,Manhattan,10027,6.490604202646611,12.633574207425843
House,16800000,8,16,33000.0,Manhattan,10304,20.890434688575883,14.837958740921867
Co-op,265000,1,1,750.0,Bronx,10473,11.665373881643365,17.143635671699887
Co-op,440000,2,1,978.0,Brooklyn,11230,15.96073556885568,10.56484000297556
Co-op,375000,2,1,850.0,Bronx,10451,9.017678884197913,15.064614510248093
Co-op,259000,3,1,964.0,Queens,11372,8.717481831884752,11.909473654525437
Co-op,430000,2,2,964.0,Queens,11373,9.457356640360857,12.06942292094669
Co-op,895000,3,1,1440.0,Manhattan,10014,2.874752908436686,3.5997484323411153
Condo,549000,2,2,1000.0,Staten Island,10312,28.713843896154334,22.733295436498718
Townhouse,975000,3,2,1734.0,Manhattan,11377,6.693802829368824,10.611284577374372
Co-op,199000,3,1,325.0,Brooklyn,11209,16.24311104559484,10.05709474201669
Co-op,350000,1,1,700.0,Bronx,10471,17.792754308066574,23.9879390918896
Condo,599000,2,2,974.0,Queens,11374,10.364388441443836,12.300968037957572
House,639999,3,2,1260.0,Manhattan,10301,18.685067469797115,12.83835937487032
Condo,1300000,2,2,1244.0,Queens,11375,12.712478354517671,14.05946061561407
Multi-family home,1100000,6,3,2837.0,Manhattan,10465,16.09033047713808,21.236513329969075
Condo,349900,1,1,651.0,Staten Island,10304,20.94278852460544,14.820947952837257
House,750000,2,2,1330.0,Manhattan,10307,35.55709965016762,29.739549336356134
Multi-family home,1690000,6,4,2200.0,Manhattan,11435,15.731773356675284,16.80848895948446
Co-op,325000,1,1,964.0,Queens,11372,8.470492189341204,11.536093842343465
Co-op,230000,1,1,1440.0,Manhattan,11372,9.41237493769804,12.67860291980964
Multi-family home,1299888,10,6,3156.0,Staten Island,10304,18.094733107376975,12.02404720484729
Multi-family home,925000,5,2,2750.0,Manhattan,10465,15.884086003353621,20.802499555969717
Condo,329000,1,2,794.0,Manhattan,10314,20.71139466878272,15.23019920708104
Multi-family home,1300000,10,8,5040.0,Staten Island,10303,20.645724003325565,15.330046529846184
Multi-family home,848000,5,4,2080.0,Manhattan,11207,13.055942796554634,10.546740535561554
Co-op,279000,1,1,750.0,Brooklyn,11230,15.874786459264486,10.80777435715689
Condo,528000,1,1,602.0,Brooklyn,11219,14.656257853423543,8.739845305020452
Multi-family home,1299888,11,4,3156.0,Staten Island,10304,18.094733107376975,12.02404720484729
Co-op,275000,1,1,964.0,Queens,11355,13.822388291611075,16.64637109350909
Condo,1165000,1,1,815.0,Brooklyn,11249,5.477224636110781,3.7554730932559375
Multi-family home,1199000,6,5,3290.0,Manhattan,10307,34.321373619176654,28.54627697222075
Multi-family home,700000,6,2,3053.0,Manhattan,10453,11.89430938492391,18.037633205728397
