type_Condo,type_House,type_Multi-family home,type_Townhouse,locality_Brooklyn,locality_Manhattan,locality_Queens,locality_Staten Island,zipcode,beds,bath,propertysqft,distance_to_center,distance_to_wall_street,price
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10028.0,1.0,1.0,1440.0,3.3034582530268395,9.1460570755527,439000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11209.0,2.0,2.0,1050.0,16.16093875430983,10.032962213521644,875000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11211.0,2.0,2.0,1155.0,5.993223875138668,5.438151952005423,1750000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11209.0,1.0,1.0,751.0,15.966020731283791,9.79865247750167,558000
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11228.0,3.0,1.0,393.0,15.653915095625203,9.758610857457048,380000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10029.0,1.0,1.0,600.0,4.557611231832259,10.50265633385354,600000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10473.0,5.0,2.0,1790.0,12.18344768250736,17.23845432316481,475000
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10305.0,1.0,1.0,650.0,17.621161212140013,11.427705380759573,238000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10028.0,3.0,4.0,3475.0,3.02478110547599,9.019377701417971,4800000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10468.0,3.0,2.0,1308.0,14.28757537704478,20.412202859415,950000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10312.0,5.0,5.0,7200.0,31.118682971010845,25.10950016277291,2898555
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10040.0,1.0,1.0,1440.0,11.674894702043114,17.87413677302495,585000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11360.0,3.0,2.0,1492.0,17.090024530133036,20.67917684911221,399000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10304.0,4.0,2.0,1252.0,17.808930766011528,11.725921494018625,399998
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10308.0,3.0,2.0,2200.0,27.19619774785989,21.230066262573096,680000
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11209.0,6.0,6.0,6000.0,15.180790164624344,8.983991958813872,8750000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10019.0,3.0,3.0,1856.0,0.7500847637839554,6.951197135993806,3995000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10466.0,2.0,1.0,992.0,19.32774943950705,25.271939320525924,499000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10024.0,1.0,1.0,550.0,3.216468427735764,9.412763860137549,395000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10022.0,2.0,2.0,1400.0,0.9349210605941048,6.790446199486438,315000
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10021.0,4.0,4.0,5608.0,2.173205688243017,8.022871855970093,12995000
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11101.0,2.0,2.0,1574.0,3.92946109902009,7.174255886410418,1745000
